format,impl,op,ns_per_elem,elems_per_s,rel_time,agree,n,reps,seconds
fp64,mpfr+754,fma,29.2494,34188701,0.246,1,1,4194304,0.1227
fp64,cpu-hw,fma,1.8346,545086457,0.015,1,1,16777216,0.0308
fp64,libcft,div,3744.7825,267038,1.000,1,1,85625,0.3206
fp64,mpfr,div,8.8606,112859327,0.002,1,1,1048576,0.0093
fp64,mpfr+754,div,20.5555,48648789,0.005,1,1,1048576,0.0216
fp64,cpu-hw,div,1.9608,510007797,0.001,1,1,1048576,0.0021
fp64,libcft,sqrt,4455.7651,224428,1.000,1,1,71629,0.3192
fp64,mpfr,sqrt,9.1524,109260810,0.002,1,1,1048576,0.0096
fp64,mpfr+754,sqrt,19.9523,50119542,0.004,1,1,4194304,0.0837
fp64,cpu-hw,sqrt,1.8011,555224411,0.000,1,1,16777216,0.0302
fp64,libcft,add,150.6317,6638708,1.000,4,4,522780,0.3150
fp64,mpfr,add,6.1920,161499519,0.041,4,4,1048576,0.0260
fp64,mpfr+754,add,14.9977,66676798,0.100,4,4,4194304,0.2516
fp64,cpu-hw,add,1.0319,969109055,0.007,4,4,1048576,0.0043
fp64,libcft,mul,111.8881,8937500,1.000,4,4,700776,0.3136
fp64,mpfr,mul,7.2299,138315177,0.065,4,4,4194304,0.1213
fp64,mpfr+754,mul,19.5179,51235029,0.174,4,4,4186427,0.3268
fp64,cpu-hw,mul,0.8278,1207949894,0.007,4,4,4194304,0.0139
fp64,libcft,fma,125.5960,7962040,1.000,4,4,618125,0.3105
fp64,mpfr,fma,16.7102,59843610,0.133,4,4,4194304,0.2804
fp64,mpfr+754,fma,29.3536,34067410,0.234,4,4,2662334,0.3126
fp64,cpu-hw,fma,0.8512,1174875051,0.007,4,4,1048576,0.0036
fp64,libcft,div,3090.3733,323586,1.000,4,4,24941,0.3083
fp64,mpfr,div,8.0452,124297771,0.003,4,4,1048576,0.0337
fp64,mpfr+754,div,19.7425,50652043,0.006,4,4,3861965,0.3050
fp64,cpu-hw,div,0.8364,1195639663,0.000,4,4,1048576,0.0035
fp64,libcft,sqrt,3772.6051,265069,1.000,4,4,20471,0.3089
fp64,mpfr,sqrt,8.6749,115275636,0.002,4,4,1048576,0.0364
fp64,mpfr+754,sqrt,20.7458,48202625,0.005,4,4,3843123,0.3189
fp64,cpu-hw,sqrt,0.7701,1298546117,0.000,4,4,1048576,0.0032
fp64,libcft,add,148.5719,6730748,1.000,16,16,128527,0.3055
fp64,mpfr,add,7.3468,136114537,0.049,16,16,2673281,0.3142
fp64,mpfr+754,add,18.3587,54470083,0.124,16,16,1070235,0.3144
fp64,cpu-hw,add,0.1864,5365275437,0.001,16,16,1048576,0.0031
fp64,libcft,mul,113.2424,8830616,1.000,16,16,165632,0.3001
fp64,mpfr,mul,7.1409,140038486,0.063,16,16,2746321,0.3138
fp64,mpfr+754,mul,20.3519,49135342,0.180,16,16,973755,0.3171
fp64,cpu-hw,mul,0.1855,5391136338,0.002,16,16,1048576,0.0031
fp64,libcft,fma,126.6729,7894347,1.000,16,16,157210,0.3186
fp64,mpfr,fma,17.4490,57309863,0.138,16,16,1102083,0.3077
fp64,mpfr+754,fma,29.8418,33510070,0.236,16,16,628318,0.3000
fp64,cpu-hw,fma,0.2362,4233463511,0.002,16,16,1048576,0.0040
fp64,libcft,div,2795.8960,357667,1.000,16,16,6911,0.3092
fp64,mpfr,div,8.0638,124010246,0.003,16,16,2405450,0.3104
fp64,mpfr+754,div,20.8359,47994138,0.007,16,16,941621,0.3139
fp64,cpu-hw,div,0.1854,5394711635,0.000,16,16,16777216,0.0498
fp64,libcft,sqrt,3435.8901,291045,1.000,16,16,5668,0.3116
fp64,mpfr,sqrt,8.3765,119381874,0.002,16,16,2308256,0.3094
fp64,mpfr+754,sqrt,19.8095,50480939,0.006,16,16,968562,0.3070
fp64,cpu-hw,sqrt,0.2981,3354101546,0.000,16,16,1048576,0.0050
fp64,libcft,add,150.5692,6641463,1.000,64,64,32379,0.3120
fp64,mpfr,add,7.4699,133870358,0.050,64,64,647738,0.3097
fp64,mpfr+754,add,18.9698,52715440,0.126,64,64,262144,0.3183
fp64,cpu-hw,add,0.1365,7326895121,0.001,64,64,4194304,0.0366
fp64,libcft,mul,115.9532,8624169,1.000,64,64,41591,0.3086
